symbol,companyName,lastPrice,change,pChange,dayHigh,dayLow,totalTradedVolume,timestamp
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:38:30
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:38:40
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:39:18
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:39:28
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:39:38
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:39:48
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:39:59
INFY,,1507,0.20000000000004547,0.013273161667112123,1523,1502.8,,2025-05-05 22:40:09
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 06:16:23
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 06:16:28
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 06:16:33
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 06:16:39
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 06:16:44
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 06:16:49
TCS.NS,,,,,,,,2025-05-07 07:28:41
TCS.NS,,,,,,,,2025-05-07 07:28:46
TCS.NS,,,,,,,,2025-05-07 07:28:51
TCS.NS,,,,,,,,2025-05-07 07:28:53
INFY.NS,,,,,,,,2025-05-07 07:28:54
TCS.NS,,,,,,,,2025-05-07 07:28:55
TCS.NS,,,,,,,,2025-05-07 07:28:57
TCS.NS,,,,,,,,2025-05-07 07:28:59
INFY.NS,,,,,,,,2025-05-07 07:28:59
TCS.NS,,,,,,,,2025-05-07 07:29:00
TCS.NS,,,,,,,,2025-05-07 07:29:02
TCS.NS,,,,,,,,2025-05-07 07:29:04
INFY.NS,,,,,,,,2025-05-07 07:29:04
TCS.NS,,,,,,,,2025-05-07 07:29:05
TCS.NS,,,,,,,,2025-05-07 07:29:07
TCS.NS,,,,,,,,2025-05-07 07:29:10
TCS.NS,,,,,,,,2025-05-07 07:29:10
INFY.NS,,,,,,,,2025-05-07 07:29:10
TCS.NS,,,,,,,,2025-05-07 07:29:12
TCS.NS,,,,,,,,2025-05-07 07:29:15
TCS.NS,,,,,,,,2025-05-07 07:29:16
INFY.NS,,,,,,,,2025-05-07 07:29:16
TCS.NS,,,,,,,,2025-05-07 07:29:17
TCS.NS,,,,,,,,2025-05-07 07:29:20
TCS.NS,,,,,,,,2025-05-07 07:29:21
INFY.NS,,,,,,,,2025-05-07 07:29:21
TCS.NS,,,,,,,,2025-05-07 07:29:22
TCS.NS,,,,,,,,2025-05-07 07:29:26
TCS.NS,,,,,,,,2025-05-07 07:29:27
TCS.NS,,,,,,,,2025-05-07 07:29:26
INFY.NS,,,,,,,,2025-05-07 07:29:27
TCS.NS,,,,,,,,2025-05-07 07:29:31
TCS.NS,,,,,,,,2025-05-07 07:29:32
TCS.NS,,,,,,,,2025-05-07 07:29:32
INFY.NS,,,,,,,,2025-05-07 07:29:32
TCS.NS,,,,,,,,2025-05-07 07:29:36
TCS.NS,,,,,,,,2025-05-07 07:29:37
TCS.NS,,,,,,,,2025-05-07 07:29:37
INFY.NS,,,,,,,,2025-05-07 07:29:37
TCS.NS,,,,,,,,2025-05-07 07:29:42
TCS.NS,,,,,,,,2025-05-07 07:29:43
